link,adresse,rent,rooms,size,area,rent_range
https://www.immowelt.de/expose/29btl59,Letteallee 64,481.35,2.0,61.24,Reinickendorf,below 600
https://www.immowelt.de/expose/29rwk59,Oberschöneweide,724.0,1.0,16.9,Oberschöneweide,600 to 1000
https://www.immowelt.de/expose/27xsw57,Mühlenstraße 20,1900.0,2.0,55.0,Friedrichshain,1500 to 2000
https://www.immowelt.de/expose/28u6q5p,Großbeerenstraße 13,3290.0,3.0,115.0,Kreuzberg,over 3000
https://www.immowelt.de/expose/27jyd5w,Stralauer Allee 5,2308.0,2.0,63.0,Friedrichshain,2000 to 3000
https://www.immowelt.de/expose/25m7r5g,Geisbergstraße 31,1500.0,2.0,38.0,Schöneberg,1500 to 2000
https://www.immowelt.de/expose/27wkb5r,Schlierseestraße 2,3000.0,3.0,122.8,Grünau,over 3000
https://www.immowelt.de/expose/247n45x,Lion-Feuchtwanger Straße 61,1249.0,3.0,53.55,Kaulsdorf,1000 to 1500
https://www.immowelt.de/expose/29whb59,Angerburger Allee 21,746.87,2.0,78.37,Westend,600 to 1000
https://www.immowelt.de/expose/28txw5g,Jablonskistr 5,2600.0,3.0,110.0,Prenzlauer Berg,2000 to 3000
https://www.immowelt.de/expose/29zxk59,Oberschöneweide,697.0,1.0,17.7,Oberschöneweide,600 to 1000
https://www.immowelt.de/expose/2983m58,Galenusstr. 17,461.2,1.5,54.84,Pankow,below 600
https://www.immowelt.de/expose/29dwk59,Oberschöneweide,586.0,1.0,11.0,Oberschöneweide,below 600
https://www.immowelt.de/expose/2967958,Müggelseedamm 162 162b,503.73,1.0,39.58,Friedrichshagen,below 600
https://www.immowelt.de/expose/29ru858,Wilhelminenhofstr. 37,318.65,1.0,34.0,Oberschöneweide,below 600
https://www.immowelt.de/expose/29c8z57,Gabriele-Tergit-Promenade 21,1650.0,3.0,90.0,Tiergarten,1500 to 2000
https://www.immowelt.de/expose/29kp258,Rosenfelder Ring 150,1267.67,3.0,89.09,Friedrichsfelde,1000 to 1500
https://www.immowelt.de/expose/29vvz56,Lichtenrade,1410.0,4.0,115.0,Lichtenrade,1000 to 1500
https://www.immowelt.de/expose/2895d5t,Nalepastraße 222,1000.0,2.0,38.82,Oberschöneweide,1000 to 1500
https://www.immowelt.de/expose/28dsa5t,Nalepastraße 222,750.0,1.0,23.66,Oberschöneweide,600 to 1000
https://www.immowelt.de/expose/27b7f5q,Nalepastraße 222,650.0,1.0,21.65,Oberschöneweide,600 to 1000
https://www.immowelt.de/expose/29lqk57,Rosenfelder Ring 154,2140.5,4.0,165.76,Friedrichsfelde,2000 to 3000
https://www.immowelt.de/expose/29kpk57,Am Postbahnhof 23,932.22,2.0,55.82,Friedrichshain,600 to 1000
https://www.immowelt.de/expose/2ksv247,Philipp-Franck-Weg 19,1205.0,3.0,86.0,Wannsee,1000 to 1500
https://www.immowelt.de/expose/29qhw54,Prühßstraße 13 + 15,894.18,1.0,45.93,Mariendorf,600 to 1000
https://www.immowelt.de/expose/29xz256,Teichmummelring 67,857.45,2.0,63.22,Grünau,600 to 1000
https://www.immowelt.de/expose/288vu5x,Wiesbadener Straße 47,2200.0,3.0,75.0,Wilmersdorf,2000 to 3000
https://www.immowelt.de/expose/28sgx5e,Ehrenbergstr. 5,2800.0,3.0,93.0,Friedrichshain,2000 to 3000
https://www.immowelt.de/expose/29d8753,Biesentaler Str. 10,900.0,2.0,60.3,Gesundbrunnen,600 to 1000
https://www.immowelt.de/expose/28qpr5w,Niebuhrstr. 78,3100.0,4.0,170.0,Charlottenburg,over 3000
https://www.immowelt.de/expose/28p465r,Kaiser Friedrichstrasse 77,1690.0,2.0,56.0,Charlottenburg,1500 to 2000
https://www.immowelt.de/expose/28kxw5y,An der Dahme 2,1194.14,3.0,74.17,Grünau,1000 to 1500
https://www.immowelt.de/expose/28axw5y,Gaffelsteig 2,1659.36,4.0,103.71,Grünau,1500 to 2000
https://www.immowelt.de/expose/289zv5x,Dahlem,2200.0,3.0,111.0,Dahlem,2000 to 3000
https://www.immowelt.de/expose/28kza5x,Zaucher Weg 10,2500.0,4.0,138.0,Karolinenhof,2000 to 3000
https://www.immowelt.de/expose/28era5x,Zaucher Weg 10,1500.0,3.0,73.0,Karolinenhof,1500 to 2000
https://www.immowelt.de/expose/284qa5x,Zaucher Weg 10,1300.0,2.0,62.01,Karolinenhof,1000 to 1500
