link,adresse,rent,rooms,size
https://www.immowelt.de/expose/29btl59,"Letteallee 64, Berlin (Reinickendorf)","481,35 €",2 Zi.,61.24 m²
https://www.immowelt.de/expose/29rwk59,Berlin (Oberschöneweide),724 €,1 Zi.,16.9 m²
https://www.immowelt.de/expose/27xsw57,"Mühlenstraße 20, Berlin (Friedrichshain)",1.900 €,2 Zi.,55 m²
https://www.immowelt.de/expose/28u6q5p,"Großbeerenstraße 13, Berlin (Kreuzberg)",3.290 €,3 Zi.,115 m²
https://www.immowelt.de/expose/27jyd5w,"Stralauer Allee 5, Berlin (Friedrichshain)",2.308 €,2 Zi.,63 m²
https://www.immowelt.de/expose/25m7r5g,"Geisbergstraße 31, Berlin (Schöneberg)",1.500 €,2 Zi.,38 m²
https://www.immowelt.de/expose/27wkb5r,"Schlierseestraße 2, Berlin (Grünau)",3.000 €,3 Zi.,122.8 m²
https://www.immowelt.de/expose/247n45x,"Lion-Feuchtwanger Straße 61, Berlin (Kaulsdorf)",1.249 €,3 Zi.,53.55 m²
https://www.immowelt.de/expose/29whb59,"Angerburger Allee 21, Berlin (Westend)","746,87 €",2 Zi.,78.37 m²
https://www.immowelt.de/expose/28txw5g,"Jablonskistr 5, Berlin (Prenzlauer Berg)",2.600 €,3 Zi.,110 m²
https://www.immowelt.de/expose/29zxk59,Berlin (Oberschöneweide),697 €,1 Zi.,17.7 m²
https://www.immowelt.de/expose/2983m58,"Galenusstr. 17, Berlin (Pankow)","461,20 €",1.5 Zi.,54.84 m²
https://www.immowelt.de/expose/29dwk59,Berlin (Oberschöneweide),586 €,1 Zi.,11 m²
https://www.immowelt.de/expose/2967958,"Müggelseedamm 162, 162b, Berlin (Friedrichshagen)","503,73 €",1 Zi.,39.58 m²
https://www.immowelt.de/expose/29ru858,"Wilhelminenhofstr. 37, Berlin (Oberschöneweide)","318,65 €",1 Zi.,34 m²
https://www.immowelt.de/expose/29c8z57,"Gabriele-Tergit-Promenade 21, Berlin (Tiergarten)",1.650 €,3 Zi.,90 m²
